student_id,academic_year,major,facility_rated,satisfaction_score,timestamp
1440,3rd,ECE,Cafeteria,1,2024-01-19 07:00:00
1441,1st,CSE,Sports Center,1,2024-01-19 08:00:00
1442,4th,ECE,Library,1,2024-01-19 09:00:00
1443,1st,EEE,Cafeteria,2,2024-01-19 10:00:00
1444,4th,EEE,Library,4,2024-01-19 11:00:00
1445,4th,CSE,Cafeteria,2,2024-01-19 12:00:00
1446,3rd,ECE,Library,4,2024-01-19 13:00:00
1447,3rd,ECE,Library,4,2024-01-19 14:00:00
1448,2nd,ECE,Sports Center,3,2024-01-19 15:00:00
1449,3rd,Mechanical,Library,3,2024-01-19 16:00:00
1450,2nd,AI&DS,Cafeteria,4,2024-01-19 17:00:00
1451,2nd,Mechanical,Cafeteria,4,2024-01-19 18:00:00
1452,2nd,AI&DS,Sports Center,2,2024-01-19 19:00:00
1453,2nd,ECE,Cafeteria,2,2024-01-19 20:00:00
1454,2nd,ECE,Cafeteria,3,2024-01-19 21:00:00
1455,1st,Mechanical,Cafeteria,1,2024-01-19 22:00:00
1456,3rd,Mechanical,Library,4,2024-01-19 23:00:00
1457,2nd,AI&DS,Library,2,2024-01-20 00:00:00
1458,4th,EEE,Cafeteria,3,2024-01-20 01:00:00
1459,3rd,AI&DS,Sports Center,2,2024-01-20 02:00:00
1460,3rd,Mechanical,Library,4,2024-01-20 03:00:00
1461,2nd,Mechanical,Sports Center,4,2024-01-20 04:00:00
1462,1st,CSE,Cafeteria,5,2024-01-20 05:00:00
1463,2nd,Mechanical,Cafeteria,1,2024-01-20 06:00:00
1464,1st,CSE,Library,5,2024-01-20 07:00:00
1465,4th,EEE,Cafeteria,3,2024-01-20 08:00:00
1466,3rd,AI&DS,Library,2,2024-01-20 09:00:00
1467,4th,AI&DS,Cafeteria,3,2024-01-20 10:00:00
1468,1st,CSE,Cafeteria,4,2024-01-20 11:00:00
1469,1st,AI&DS,Library,5,2024-01-20 12:00:00
1470,4th,Mechanical,Library,5,2024-01-20 13:00:00
1471,1st,ECE,Library,5,2024-01-20 14:00:00
1472,4th,CSE,Cafeteria,3,2024-01-20 15:00:00
1473,3rd,AI&DS,Cafeteria,4,2024-01-20 16:00:00
1474,4th,CSE,Sports Center,2,2024-01-20 17:00:00
1475,3rd,CSE,Library,2,2024-01-20 18:00:00
1476,4th,ECE,Cafeteria,3,2024-01-20 19:00:00
1477,1st,Mechanical,Cafeteria,5,2024-01-20 20:00:00
1478,4th,CSE,Library,1,2024-01-20 21:00:00
1479,1st,AI&DS,Sports Center,3,2024-01-20 22:00:00
1480,4th,EEE,Library,3,2024-01-20 23:00:00
1481,4th,CSE,Sports Center,4,2024-01-21 00:00:00
1482,2nd,CSE,Cafeteria,2,2024-01-21 01:00:00
1483,1st,ECE,Sports Center,3,2024-01-21 02:00:00
1484,2nd,Mechanical,Cafeteria,3,2024-01-21 03:00:00
1485,1st,EEE,Library,5,2024-01-21 04:00:00
1486,2nd,AI&DS,Library,5,2024-01-21 05:00:00
1487,3rd,EEE,Library,1,2024-01-21 06:00:00
1488,4th,AI&DS,Sports Center,4,2024-01-21 07:00:00
1489,1st,Mechanical,Cafeteria,1,2024-01-21 08:00:00
1490,1st,AI&DS,Library,5,2024-01-21 09:00:00
1491,4th,ECE,Library,2,2024-01-21 10:00:00
1492,1st,ECE,Cafeteria,5,2024-01-21 11:00:00
1493,1st,ECE,Library,4,2024-01-21 12:00:00
1494,2nd,ECE,Cafeteria,5,2024-01-21 13:00:00
1495,1st,EEE,Cafeteria,4,2024-01-21 14:00:00
1496,3rd,Mechanical,Cafeteria,4,2024-01-21 15:00:00
1497,3rd,AI&DS,Cafeteria,4,2024-01-21 16:00:00
1498,4th,AI&DS,Cafeteria,4,2024-01-21 17:00:00
1499,1st,ECE,Sports Center,4,2024-01-21 18:00:00
1500,4th,ECE,Library,2,2024-01-21 19:00:00
